No    feature  importance
111  technical_30_d    5.024359
82     technical_17    4.457361
93     technical_30    4.222396
96     technical_33    3.506137
77     technical_11    3.221528
85     technical_20    2.998491
86     technical_21    2.874178
110  technical_20_d    2.777362
70      technical_2    2.614084
88     technical_24    2.536321
104    technical_41    2.460663
71      technical_3    2.418529
84     technical_19    2.381649
103    technical_40    2.349209
90     technical_27    2.323292
73      technical_6    2.023143
98     technical_35    1.959096
69      technical_1    1.856785
94     technical_31    1.805800
48   fundamental_44    1.788264
107    technical_44    1.787455
99     technical_36    1.784476
68      technical_0    1.635236
66   fundamental_62    1.585931
91     technical_28    1.542199
72      technical_5    1.537260
89     technical_25    1.372937
5     fundamental_0    1.263929
46   fundamental_42    1.217287
74      technical_7    1.177996
106    technical_43    1.175741
12    fundamental_8    1.173058
37   fundamental_33    1.169485
33   fundamental_29    1.143062
57   fundamental_53    1.122800
14   fundamental_10    1.121403
45   fundamental_41    1.113826
25   fundamental_21    1.105291
43   fundamental_39    1.080990
2         derived_2    1.017954
11    fundamental_7    1.006244
34   fundamental_30    0.947620
105    technical_42    0.935697
41   fundamental_37    0.924577
78     technical_12    0.919681
0         derived_0    0.915473
53   fundamental_49    0.885089
23   fundamental_19    0.866668
20   fundamental_16    0.862760
17   fundamental_13    0.862090
22   fundamental_18    0.839349
64   fundamental_60    0.832487
18   fundamental_14    0.824420
52   fundamental_48    0.816838
19   fundamental_15    0.811070
40   fundamental_36    0.807011
112  technical_13_d    0.796323
24   fundamental_20    0.771692
27   fundamental_23    0.766902
21   fundamental_17    0.766168
16   fundamental_12    0.765229
36   fundamental_32    0.750163
59   fundamental_55    0.737977
3         derived_3    0.732276
9     fundamental_5    0.725316
38   fundamental_34    0.717437
92     technical_29    0.709246
80     technical_14    0.692410
50   fundamental_46    0.669537
4         derived_4    0.658703
39   fundamental_35    0.652260
108         nbnulls    0.637554
60   fundamental_56    0.633485
101    technical_38    0.629274
28   fundamental_24    0.622966
1         derived_1    0.621134
63   fundamental_59    0.618026
55   fundamental_51    0.616643
26   fundamental_22    0.606075
47   fundamental_43    0.587391
29   fundamental_25    0.558623
56   fundamental_52    0.538198
58   fundamental_54    0.537006
49   fundamental_45    0.529644
100    technical_37    0.524456
15   fundamental_11    0.517328
54   fundamental_50    0.511364
79     technical_13    0.502668
51   fundamental_47    0.498934
44   fundamental_40    0.488782
7     fundamental_2    0.486179
81     technical_16    0.472029
35   fundamental_31    0.448256
62   fundamental_58    0.421985
95     technical_32    0.421304
8     fundamental_3    0.411040
13    fundamental_9    0.408557
97     technical_34    0.397557
31   fundamental_27    0.278672
76     technical_10    0.207376
83     technical_18    0.206686
32   fundamental_28    0.200277
102    technical_39    0.198407
67   fundamental_63    0.190310
30   fundamental_26    0.108834
65   fundamental_61    0.102693
6     fundamental_1    0.092108
87     technical_22    0.069853
42   fundamental_38    0.069272
10    fundamental_6    0.060235
75      technical_9    0.045180
61   fundamental_57    0.031245
113  technical_34_d    0.008103
109  technical_22_d    0.005806
