       feature  importance
128     neighbour14    2.228004
131     neighbour17    2.135261
103    technical_40    1.417072
111  technical_30_d    1.361620
110  technical_20_d    1.186590
133     neighbour19    1.072019
82     technical_17    1.067693
85     technical_20    0.933929
68      technical_0    0.883336
96     technical_33    0.865022
48   fundamental_44    0.863071
126     neighbour12    0.828270
108         nbnulls    0.811009
86     technical_21    0.734272
118      neighbour4    0.718875
125     neighbour11    0.639102
84     technical_19    0.625506
98     technical_35    0.602667
90     technical_27    0.541504
99     technical_36    0.534990
77     technical_11    0.522162
11    fundamental_7    0.514602
93     technical_30    0.509550
70      technical_2    0.505755
114      neighbour0    0.502298
33   fundamental_29    0.499778
72      technical_5    0.474683
5     fundamental_0    0.460413
106    technical_43    0.455526
12    fundamental_8    0.433597
25   fundamental_21    0.421663
15   fundamental_11    0.414155
66   fundamental_62    0.409327
116      neighbour2    0.403027
88     technical_24    0.395301
69      technical_1    0.383916
39   fundamental_35    0.374982
57   fundamental_53    0.355305
130     neighbour16    0.348241
59   fundamental_55    0.345934
121      neighbour7    0.342500
104    technical_41    0.342238
49   fundamental_45    0.324018
2         derived_2    0.319033
107    technical_44    0.311298
45   fundamental_41    0.310227
73      technical_6    0.298380
20   fundamental_16    0.297944
38   fundamental_34    0.297270
64   fundamental_60    0.295787
89     technical_25    0.294557
94     technical_31    0.284476
122      neighbour8    0.284361
91     technical_28    0.282515
123      neighbour9    0.278554
46   fundamental_42    0.268337
132     neighbour18    0.267751
14   fundamental_10    0.267094
52   fundamental_48    0.266605
0         derived_0    0.261000
55   fundamental_51    0.259822
127     neighbour13    0.247851
129     neighbour15    0.244787
71      technical_3    0.242301
100    technical_37    0.238608
37   fundamental_33    0.237737
41   fundamental_37    0.236277
34   fundamental_30    0.233243
119      neighbour5    0.233087
117      neighbour3    0.231807
19   fundamental_15    0.229500
23   fundamental_19    0.226387
18   fundamental_14    0.223314
43   fundamental_39    0.219127
50   fundamental_46    0.211127
78     technical_12    0.208132
26   fundamental_22    0.206552
105    technical_42    0.202163
13    fundamental_9    0.201743
44   fundamental_40    0.200458
36   fundamental_32    0.196954
79     technical_13    0.190273
4         derived_4    0.189019
3         derived_3    0.186759
8     fundamental_3    0.185896
53   fundamental_49    0.183650
63   fundamental_59    0.170798
124     neighbour10    0.168233
1         derived_1    0.165089
40   fundamental_36    0.159177
27   fundamental_23    0.156694
74      technical_7    0.152249
47   fundamental_43    0.150245
16   fundamental_12    0.142728
62   fundamental_58    0.133511
21   fundamental_17    0.131162
54   fundamental_50    0.129912
17   fundamental_13    0.119641
80     technical_14    0.118786
115      neighbour1    0.116848
24   fundamental_20    0.115373
22   fundamental_18    0.108731
35   fundamental_31    0.106818
56   fundamental_52    0.104151
60   fundamental_56    0.103572
29   fundamental_25    0.103427
95     technical_32    0.103107
51   fundamental_47    0.102958
112  technical_13_d    0.102494
101    technical_38    0.102476
58   fundamental_54    0.101249
9     fundamental_5    0.099491
28   fundamental_24    0.093151
7     fundamental_2    0.088530
31   fundamental_27    0.083769
92     technical_29    0.074048
102    technical_39    0.058915
32   fundamental_28    0.056221
97     technical_34    0.039113
120      neighbour6    0.038556
67   fundamental_63    0.025271
42   fundamental_38    0.014311
6     fundamental_1    0.012976
76     technical_10    0.012534
83     technical_18    0.011906
81     technical_16    0.008937
113  technical_34_d    0.000000
109  technical_22_d    0.000000
30   fundamental_26    0.000000
10    fundamental_6    0.000000
61   fundamental_57    0.000000
87     technical_22    0.000000
75      technical_9    0.000000
65   fundamental_61    0.000000

